Date,Product,Revenue,Expenses,Profit
2022-01-01,SparkleShine,1000,600,400
2022-01-02,GloboTech,1500,800,700
2022-01-03,DreamCatch,1200,700,500
2022-01-04,WhizBang,800,400,400
2022-01-05,PixelPerfect,1800,900,900
2022-01-06,FlavorFusion,1100,650,450
2022-01-07,SwiftSlice,1000,500,500
2022-01-08,CloudCraze,1600,750,850
2022-01-09,InnoWave,1300,700,600
2022-01-10,SparkleShine,900,450,450
2022-01-11,GloboTech,1400,750,650
2022-01-12,DreamCatch,1700,800,900
2022-01-13,WhizBang,1100,550,550
2022-01-14,PixelPerfect,1200,700,500
2022-01-15,FlavorFusion,1900,950,950
2022-01-16,SwiftSlice,1200,600,600
2022-01-17,CloudCraze,1500,800,700
2022-01-18,InnoWave,2000,1000,1000
2022-01-19,SparkleShine,1300,700,600
2022-01-20,GloboTech,1600,900,700
2022-01-21,DreamCatch,2200,1100,1100
2022-01-22,WhizBang,1400,750,650
2022-01-23,PixelPerfect,1700,950,750
2022-01-24,FlavorFusion,2500,1200,1300
2022-01-25,SwiftSlice,1500,800,700
2022-01-26,CloudCraze,1800,1000,800
2022-01-27,InnoWave,2800,1300,1500
2022-01-28,SparkleShine,1600,900,700
2022-01-29,GloboTech,2000,1100,900
2022-01-30,DreamCatch,3000,1500,1500
2022-01-31,WhizBang,1700,1000,700
